char,prev_char,next_char,position,word_len,label
i,i,<END>,6,7,0
m,<START>,t,0,8,0
t,m,a,1,8,0
a,t,o,2,8,0
o,a,k,3,8,1
k,o,o,4,8,1
o,k,k,5,8,1
k,o,a,6,8,0
a,k,<END>,7,8,0
u,<START>,t,0,8,0
t,u,a,1,8,0
a,t,c,2,8,0
c,a,h,3,8,1
h,c,e,4,8,1
e,h,z,5,8,1
z,e,a,6,8,1
a,z,<END>,7,8,0
t,<START>,u,0,14,0
u,t,m,1,14,0
m,u,e,2,14,0
e,m,m,3,14,0
m,e,a,4,14,1
a,m,l,5,14,1
l,a,i,6,14,1
i,l,z,7,14,1
z,i,i,8,14,1
i,z,s,9,14,0
s,i,h,10,14,0
h,s,i,11,14,0
i,h,a,12,14,0
a,i,<END>,13,14,0
a,<START>,m,0,11,0
m,a,e,1,11,0
e,m,o,2,11,0
o,e,k,3,11,1
k,o,o,4,11,1
o,k,k,5,11,1
k,o,e,6,11,0
e,k,s,7,11,0
s,e,h,8,11,0
h,s,a,9,11,0
a,h,<END>,10,11,0
t,<START>,u,0,11,0
u,t,n,1,11,0
n,u,g,2,11,0
g,n,e,3,11,0
e,g,l,4,11,0
l,e,i,5,11,0
i,l,l,6,11,0
l,i,a,7,11,1
a,l,l,8,11,1
l,a,a,9,11,1
a,l,<END>,10,11,0
a,<START>,s,0,14,0
s,a,i,1,14,0
i,s,n,2,14,0
n,i,g,3,14,0
g,n,e,4,14,0
e,g,f,5,14,0
f,e,u,6,14,1
u,f,n,7,14,1
n,u,g,8,14,1
g,n,u,9,14,1
u,g,l,10,14,1
l,u,i,11,14,0
i,l,a,12,14,0
a,i,<END>,13,14,0
a,<START>,l,0,12,0
l,a,i,1,12,0
i,l,y,2,12,0
y,i,e,3,12,0
e,y,k,4,12,0
k,e,u,5,12,0
u,k,u,6,12,0
u,u,l,7,12,1
l,u,i,8,12,1
i,l,z,9,12,1
z,i,a,10,12,1
a,z,<END>,11,12,0
h,<START>,a,0,14,0
a,h,w,1,14,0
w,a,a,2,14,0
a,w,k,3,14,0
k,a,u,4,14,0
u,k,a,5,14,0
a,u,n,6,14,1
n,a,z,7,14,1
z,n,i,8,14,1
i,z,s,9,14,0
s,i,h,10,14,0
h,s,w,11,14,0
w,h,a,12,14,0
a,w,<END>,13,14,0
m,<START>,l,0,13,0
l,m,i,1,13,0
i,l,m,2,13,0
m,i,c,3,13,0
c,m,h,4,13,1
h,c,a,5,13,1
a,h,p,6,13,1
p,a,i,7,13,1
i,p,s,8,13,1
s,i,h,9,13,1
h,s,i,10,13,1
i,h,a,11,13,0
a,i,<END>,12,13,0
a,<START>,l,0,11,0
l,a,i,1,11,0
i,l,n,2,11,0
n,i,i,3,11,0
i,n,o,4,11,0
o,i,n,5,11,1
n,o,e,6,11,1
e,n,s,7,11,1
s,e,h,8,11,1
h,s,a,9,11,1
a,h,<END>,10,11,0
m,<START>,s,0,20,0
s,m,i,1,20,0
i,s,n,2,20,0
n,i,g,3,20,0
g,n,a,4,20,0
a,g,l,5,20,0
l,a,i,6,20,0
i,l,w,7,20,0
w,i,a,8,20,0
a,w,a,9,20,0
a,a,n,10,20,1
n,a,d,11,20,1
d,n,i,12,20,1
i,d,k,13,20,1
k,i,i,14,20,1
i,k,s,15,20,0
s,i,h,16,20,0
h,s,i,17,20,0
i,h,a,18,20,0
a,i,<END>,19,20,0
h,<START>,u,0,9,0
u,h,t,1,9,0
t,u,a,2,9,0
a,t,j,3,9,0
j,a,e,4,9,1
e,j,n,5,9,1
n,e,g,6,9,1
g,n,a,7,9,1
a,g,<END>,8,9,0
c,<START>,h,0,10,1
h,c,a,1,10,1
a,h,p,2,10,1
p,a,i,3,10,1
i,p,s,4,10,1
s,i,h,5,10,1
h,s,e,6,10,1
e,h,n,7,10,0
n,e,i,8,10,0
i,n,<END>,9,10,0
a,<START>,l,0,15,0
l,a,i,1,15,0
i,l,p,2,15,0
p,i,o,3,15,0
o,p,m,4,15,0
m,o,s,5,15,0
s,m,i,6,15,1
i,s,k,7,15,1
k,i,i,8,15,1
i,k,l,9,15,1
l,i,i,10,15,0
i,l,z,11,15,0
z,i,i,12,15,0
i,z,a,13,15,0
a,i,<END>,14,15,0
w,<START>,a,0,14,0
a,w,s,1,14,0
s,a,i,2,14,0
i,s,n,3,14,0
n,i,g,4,14,0
g,n,e,5,14,0
e,g,w,6,14,0
w,e,a,7,14,0
a,w,p,8,14,0
p,a,a,9,14,1
a,p,n,10,14,1
n,a,d,11,14,1
d,n,a,12,14,1
a,d,<END>,13,14,0
c,<START>,h,0,8,1
h,c,o,1,8,1
o,h,m,2,8,1
m,o,e,3,8,1
e,m,s,4,8,0
s,e,h,5,8,0
h,s,a,6,8,0
a,h,<END>,7,8,0
m,<START>,p,0,9,0
p,m,o,1,9,1
o,p,t,2,9,1
t,o,e,3,9,1
e,t,z,4,9,1
z,e,e,5,9,1
e,z,n,6,9,0
n,e,i,7,9,0
i,n,<END>,8,9,0
